{1,2}	skip moves:[[1 1] [2 2]]; speedup:22.5=>18
{1,2,4,6,7,9}	skip moves:[[4 4] [1 3] [4 6] [1 5] [3 3] [6 6]]; speedup:20.25=>19.53
{1,3,4,6,7,9}	skip moves:[[2 2] [4 4] [4 6] [1 5] [2 4] [6 6]]; speedup:19.52=>19.31
{2,3,4,6,7,9}	skip moves:[[4 6] [1 5] [6 6]]; speedup:18.56=>18.42
{1,2,3,4,6,7,9}	skip moves:[[4 4] [1 5] [6 6] [4 6]]; speedup:20.42=>20.13
{1,5,6,7,9}	skip moves:[[3 3] [2 4] [6 6] [5 5] [2 3] [1 4] [5 6]]; speedup:19.96=>18
{2,5,6,7,9}	skip moves:[[3 3] [1 5] [2 4] [6 6] [5 6]]; speedup:17.43=>16.94
{1,2,5,6,7,9}	skip moves:[[1 4] [5 5] [2 3] [3 3] [2 4] [6 6] [5 6]]; speedup:20.09=>19.2
{3,5,6,7,9}	skip moves:[[2 3] [5 5] [1 4] [5 6]]; speedup:16.72=>16.68
{1,3,5,6,7,9}	skip moves:[[5 5] [2 3] [1 4] [2 4] [6 6] [5 6]]; speedup:19.02=>18.74
{2,3,5,6,7,9}	skip moves:[[1 4] [5 5] [1 5] [2 4] [6 6] [5 6]]; speedup:18.21=>17.97
{1,2,3,5,6,7,9}	skip moves:[[5 5] [1 4] [2 4] [6 6] [3 5] [5 6]]; speedup:20.19=>19.76
{4,5,6,7,9}	skip moves:[[2 4] [3 3] [1 5] [6 6]]; speedup:15.74=>15.73
{1,4,5,6,7,9}	skip moves:[[2 3] [5 5] [4 6] [2 4] [3 3] [6 6] [5 6]]; speedup:18.41=>18.19
{2,4,5,6,7,9}	skip moves:[[5 6] [1 5] [3 3] [6 6]]; speedup:17.6=>17.51
{1,2,4,5,6,7,9}	skip moves:[[5 5] [2 3] [3 3] [6 6] [4 6] [5 6]]; speedup:19.6=>19.2
{3,4,5,6,7,9}	skip moves:[[2 4] [1 5] [6 6] [5 5] [2 3] [1 4]]; speedup:17.26=>17.25
{1,3,4,5,6,7,9}	skip moves:[[2 3] [5 5] [2 4] [6 6] [4 6] [5 6]]; speedup:19.11=>18.94
{2,3,4,5,6,7,9}	skip moves:[[1 4] [5 5] [4 6] [1 5] [6 6] [5 6]]; speedup:18.49=>18.37
{1,2,3,4,5,6,7,9}	skip moves:[[4 4] [5 5] [6 6] [4 6] [5 6]]; speedup:19.74=>19.58
{1,2,8,9}	skip moves:[[1 1] [2 2]]; speedup:23.58=>22.33
{1,3,8,9}	skip moves:[[3 3] [1 2]]; speedup:24.13=>20.51
{2,3,8,9}	skip moves:[[3 3] [1 2]]; speedup:20.15=>19.65
{1,2,3,8,9}	skip moves:[[2 3]]; speedup:25.43=>23.78
{1,4,8,9}	skip moves:[[2 2] [1 3]]; speedup:23.47=>19.69
{2,4,8,9}	skip moves:[[1 3]]; speedup:18.97=>18.45
{1,2,4,8,9}	skip moves:[[2 4]]; speedup:24.37=>22.69
{1,3,4,8,9}	skip moves:[[3 4]]; speedup:22.38=>20.58
{2,3,4,8,9}	skip moves:[[3 4]]; speedup:19.98=>19.74
{1,2,3,4,8,9}	skip moves:[[3 4] [3 3]]; speedup:21.37=>21.22
{1,5,8,9}	skip moves:[[2 3] [5 5] [1 4]]; speedup:24.87=>19.15
{2,5,8,9}	skip moves:[[2 3] [1 4] [5 5]]; speedup:18.96=>17.66
{1,2,5,8,9}	skip moves:[[2 3] [1 5] [5 5] [1 4] [2 5]]; speedup:23.67=>22.09
{3,5,8,9}	skip moves:[[2 3] [1 4] [5 5]]; speedup:17.38=>17.31
{1,3,5,8,9}	skip moves:[[2 3] [5 5] [1 4]]; speedup:20.1=>19.98
{2,3,5,8,9}	skip moves:[[1 4] [5 5]]; speedup:19.18=>19.1
{1,2,3,5,8,9}	skip moves:[[3 3] [5 5] [1 4]]; speedup:21.22=>20.81
{1,4,5,8,9}	skip moves:[[2 3] [5 5]]; speedup:19.35=>19.29
{2,4,5,8,9}	skip moves:[[1 4] [5 5] [2 3]]; speedup:18.43=>18.43
{1,2,4,5,8,9}	skip moves:[[1 3] [5 5] [2 3]]; speedup:20.61=>20.17
{1,3,4,5,8,9}	skip moves:[[2 2] [2 3] [5 5]]; speedup:19.91=>19.81
{2,3,4,5,8,9}	skip moves:[[1 4] [5 5]]; speedup:19.23=>19.16
{1,2,3,4,5,8,9}	skip moves:[[5 5] [3 4]]; speedup:20.82=>20.7
{1,6,8,9}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:25.42=>18.83
{2,6,8,9}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:19.37=>17.76
{1,2,6,8,9}	skip moves:[[1 6] [1 5] [3 3] [2 4] [6 6]]; speedup:21.93=>21.69
{3,6,8,9}	skip moves:[[2 4] [1 5] [6 6]]; speedup:17.33=>17.24
{1,3,6,8,9}	skip moves:[[2 4] [1 5] [6 6]]; speedup:19.83=>19.63
{2,3,6,8,9}	skip moves:[[2 4] [1 5] [6 6]]; speedup:19.2=>19.06
{1,2,3,6,8,9}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:21.34=>20.68
{4,6,8,9}	skip moves:[[2 4] [3 3] [1 5] [6 6]]; speedup:15.77=>15.77
{1,4,6,8,9}	skip moves:[[2 4] [1 5] [3 3] [6 6] [4 6]]; speedup:20.65=>18.88
{2,4,6,8,9}	skip moves:[[3 3] [1 5] [6 6] [4 6]]; speedup:18.76=>18.37
{1,2,4,6,8,9}	skip moves:[[1 3] [4 6] [3 3] [1 5] [6 6]]; speedup:20.68=>19.97
{1,3,4,6,8,9}	skip moves:[[2 2] [4 6] [2 4] [1 5] [6 6]]; speedup:19.75=>19.48
{2,3,4,6,8,9}	skip moves:[[4 6] [1 5] [6 6]]; speedup:19.22=>19.11
{1,2,3,4,6,8,9}	skip moves:[[1 5] [6 6] [3 4] [4 6]]; speedup:20.86=>20.5
{1,5,6,8,9}	skip moves:[[5 5] [2 3] [1 4] [3 3] [2 4] [6 6] [5 6]]; speedup:20.13=>18.24
{2,5,6,8,9}	skip moves:[[5 5] [2 3] [1 4] [5 6]]; speedup:18.06=>17.69
{1,2,5,6,8,9}	skip moves:[[1 4] [2 3] [5 5] [2 4] [3 3] [6 6] [5 6]]; speedup:20.38=>19.47
{3,5,6,8,9}	skip moves:[[5 6]]; speedup:17.5=>17.49
{1,3,5,6,8,9}	skip moves:[[2 3] [1 4] [5 5] [2 4] [6 6] [5 6]]; speedup:19.37=>19.09
{2,3,5,6,8,9}	skip moves:[[5 5] [1 4] [2 4] [1 5] [6 6] [5 6]]; speedup:18.92=>18.77
{1,2,3,5,6,8,9}	skip moves:[[1 4] [5 5] [2 4] [6 6] [5 6]]; speedup:20.45=>20.09
{4,5,6,8,9}	skip moves:[[2 4] [3 3] [1 5] [6 6]]; speedup:16.48=>16.47
{1,4,5,6,8,9}	skip moves:[[2 3] [5 5] [4 6] [3 3] [2 4] [6 6] [5 6]]; speedup:18.79=>18.54
{2,4,5,6,8,9}	skip moves:[[5 5] [2 3] [1 4] [1 5] [3 3] [6 6] [5 6]]; speedup:18.29=>18.22
{1,2,4,5,6,8,9}	skip moves:[[5 5] [2 3] [3 3] [6 6] [4 6] [5 6]]; speedup:19.96=>19.56
{3,4,5,6,8,9}	skip moves:[[2 4] [1 5] [6 6]]; speedup:17.94=>17.93
{1,3,4,5,6,8,9}	skip moves:[[5 5] [2 3] [2 4] [6 6] [4 6] [5 6]]; speedup:19.44=>19.25
{2,3,4,5,6,8,9}	skip moves:[[4 6] [5 5] [1 4] [1 5] [6 6] [5 6]]; speedup:19.07=>19
{1,2,3,4,5,6,8,9}	skip moves:[[5 5] [6 6] [4 6] [5 6]]; speedup:20.09=>19.93
{1,2,7,8,9}	skip moves:[[2 2]]; speedup:23.85=>23.01
{1,3,7,8,9}	skip moves:[[3 3] [1 2]]; speedup:23.76=>21.22
{2,3,7,8,9}	skip moves:[[1 2] [3 3]]; speedup:20.74=>20.38
{1,2,3,7,8,9}	skip moves:[[2 3]]; speedup:25.51=>24.28
{1,4,7,8,9}	skip moves:[[2 2] [1 3]]; speedup:23.07=>20.42
{2,4,7,8,9}	skip moves:[[1 3]]; speedup:19.58=>19.22
{1,2,4,7,8,9}	skip moves:[[2 4]]; speedup:24.51=>23.25
{1,3,4,7,8,9}	skip moves:[[2 2]]; speedup:21.2=>21.2
{1,2,3,4,7,8,9}	skip moves:[[3 3]]; speedup:21.86=>21.81
{1,5,7,8,9}	skip moves:[[2 3] [1 4] [5 5]]; speedup:24.05=>19.9
{2,5,7,8,9}	skip moves:[[1 4] [2 3] [5 5]]; speedup:19.71=>18.74
{1,2,5,7,8,9}	skip moves:[[2 3] [5 5] [1 4] [1 5]]; speedup:22.76=>22.66
{3,5,7,8,9}	skip moves:[[2 3] [1 4] [5 5]]; speedup:18.18=>18.11
{1,3,5,7,8,9}	skip moves:[[2 3] [5 5] [1 4]]; speedup:20.71=>20.6
{2,3,5,7,8,9}	skip moves:[[5 5] [1 4]]; speedup:20=>19.94
{1,2,3,5,7,8,9}	skip moves:[[3 3] [5 5] [1 4]]; speedup:21.8=>21.47
{1,4,5,7,8,9}	skip moves:[[5 5] [2 3]]; speedup:20=>19.95
{1,2,4,5,7,8,9}	skip moves:[[1 3] [2 3] [5 5]]; speedup:21.23=>20.87
{1,3,4,5,7,8,9}	skip moves:[[2 2] [2 3] [5 5]]; speedup:20.59=>20.52
{2,3,4,5,7,8,9}	skip moves:[[5 5] [1 4]]; speedup:20.12=>20.09
{1,2,3,4,5,7,8,9}	skip moves:[[5 5]]; speedup:21.34=>21.33
{1,6,7,8,9}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:25.11=>19.9
{2,6,7,8,9}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:19.7=>18.54
{1,2,6,7,8,9}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:22.45=>22.27
{3,6,7,8,9}	skip moves:[[2 4] [1 5] [6 6]]; speedup:18.12=>18.04
{1,3,6,7,8,9}	skip moves:[[2 4] [1 5] [6 6]]; speedup:20.62=>20.48
{2,3,6,7,8,9}	skip moves:[[1 5] [2 4] [6 6]]; speedup:19.83=>19.7
{1,2,3,6,7,8,9}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:21.93=>21.41
{4,6,7,8,9}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:16.7=>16.69
{1,4,6,7,8,9}	skip moves:[[2 2] [1 3] [3 3] [2 4] [1 5] [6 6] [4 6]]; speedup:21.24=>19.76
{2,4,6,7,8,9}	skip moves:[[1 5] [3 3] [6 6] [4 6]]; speedup:19.37=>19.05
{1,2,4,6,7,8,9}	skip moves:[[1 3] [4 6] [3 3] [1 5] [6 6]]; speedup:21.3=>20.73
{3,4,6,7,8,9}	skip moves:[[1 5] [2 4] [6 6]]; speedup:18.62=>18.62
{1,3,4,6,7,8,9}	skip moves:[[2 2] [2 4] [1 5] [6 6] [4 6]]; speedup:20.57=>20.37
{2,3,4,6,7,8,9}	skip moves:[[4 6] [1 5] [6 6]]; speedup:19.92=>19.83
{1,2,3,4,6,7,8,9}	skip moves:[[1 5] [6 6] [4 6]]; speedup:21.43=>21.19
{1,5,6,7,8,9}	skip moves:[[2 4] [3 3] [6 6] [5 5] [2 3] [1 4] [5 6]]; speedup:20.73=>19.11
{2,5,6,7,8,9}	skip moves:[[2 4] [1 5] [3 3] [6 6] [5 6]]; speedup:18.89=>18.56
{1,2,5,6,7,8,9}	skip moves:[[5 5] [2 3] [1 4] [3 3] [2 4] [6 6] [5 6]]; speedup:21.13=>20.38
{3,5,6,7,8,9}	skip moves:[[5 6]]; speedup:18.24=>18.23
{1,3,5,6,7,8,9}	skip moves:[[1 4] [2 3] [5 5] [2 4] [6 6] [5 6]]; speedup:20.1=>19.86
{2,3,5,6,7,8,9}	skip moves:[[5 5] [1 4] [2 4] [1 5] [6 6] [5 6]]; speedup:19.67=>19.54
{1,2,3,5,6,7,8,9}	skip moves:[[5 5] [1 4] [2 4] [6 6] [5 6]]; speedup:21.16=>20.86
{4,5,6,7,8,9}	skip moves:[[2 4] [3 3] [1 5] [6 6]]; speedup:17.31=>17.29
{1,4,5,6,7,8,9}	skip moves:[[2 3] [5 5] [4 6] [2 4] [3 3] [6 6] [5 6]]; speedup:19.54=>19.34
{2,4,5,6,7,8,9}	skip moves:[[2 3] [5 5] [1 4] [5 6] [1 5] [3 3] [6 6]]; speedup:19.08=>19.04
{1,2,4,5,6,7,8,9}	skip moves:[[1 3] [2 3] [5 5] [3 3] [6 6] [4 6] [5 6]]; speedup:20.72=>20.38
{3,4,5,6,7,8,9}	skip moves:[[1 5] [2 4] [6 6]]; speedup:18.76=>18.74
{1,3,4,5,6,7,8,9}	skip moves:[[5 5] [2 3] [2 4] [6 6] [4 6] [5 6]]; speedup:20.24=>20.09
{2,3,4,5,6,7,8,9}	skip moves:[[4 6] [1 5] [6 6] [5 6]]; speedup:19.89=>19.83
{1,2,3,4,5,6,7,8,9}	skip moves:[[5 5] [6 6] [4 6] [5 6]]; speedup:20.86=>20.73
{1,2,10}	skip moves:[[2 2]]; speedup:25.11=>22.8
{1,3,10}	skip moves:[[1 2] [3 3]]; speedup:27=>21
{2,3,10}	skip moves:[[1 2] [3 3]]; speedup:20.94=>20.14
{1,2,3,10}	skip moves:[[2 3]]; speedup:26.81=>24.37
{1,4,10}	skip moves:[[1 3] [2 2] [4 4]]; speedup:27.69=>20.14
{2,4,10}	skip moves:[[1 3] [4 4]]; speedup:20.06=>18.89
{1,2,4,10}	skip moves:[[2 4]]; speedup:25.45=>23.19
{1,3,4,10}	skip moves:[[3 4]]; speedup:23.49=>21.11
{2,3,4,10}	skip moves:[[3 4]]; speedup:20.56=>20.26
{1,2,3,4,10}	skip moves:[[3 4] [3 3] [4 4]]; speedup:22.1=>21.79
{1,5,10}	skip moves:[[1 4] [2 3]]; speedup:27.43=>19.71
{2,5,10}	skip moves:[[1 4] [2 3]]; speedup:19.92=>18.28
{1,2,5,10}	skip moves:[[2 5]]; speedup:24.96=>22.8
{3,5,10}	skip moves:[[1 4] [2 3]]; speedup:17.65=>17.48
{1,3,5,10}	skip moves:[[2 3] [1 4] [3 5]]; speedup:22.89=>20.64
{2,3,5,10}	skip moves:[[1 4] [3 5]]; speedup:20.18=>19.75
{1,2,3,5,10}	skip moves:[[3 5] [3 3] [1 4]]; speedup:21.92=>21.41
{1,4,5,10}	skip moves:[[2 3] [4 5]]; speedup:22.29=>19.87
{2,4,5,10}	skip moves:[[4 5]]; speedup:19.35=>18.92
{1,2,4,5,10}	skip moves:[[4 5] [4 4] [1 3] [2 3]]; speedup:21.41=>20.71
{1,3,4,5,10}	skip moves:[[4 4] [2 2] [4 5] [2 3]]; speedup:20.44=>20.28
{2,3,4,5,10}	skip moves:[[4 4] [1 3] [4 5] [1 4]]; speedup:19.68=>19.55
{1,2,3,4,5,10}	skip moves:[[4 4] [3 4] [3 5] [4 5]]; speedup:21.77=>21.29
{1,6,10}	skip moves:[[1 5] [2 4] [3 3] [6 6]]; speedup:29.17=>19.33
{2,6,10}	skip moves:[[2 4] [3 3] [1 5] [6 6]]; speedup:20.06=>17.71
{1,2,6,10}	skip moves:[[3 3] [1 5] [1 6] [2 4] [6 6] [2 6]]; speedup:24.47=>22.22
{3,6,10}	skip moves:[[2 4] [1 5] [6 6]]; speedup:17.26=>16.8
{1,3,6,10}	skip moves:[[2 4] [1 5] [6 6] [3 6]]; speedup:22.48=>20.15
{2,3,6,10}	skip moves:[[2 4] [1 5] [6 6] [3 6]]; speedup:19.8=>19.16
{1,2,3,6,10}	skip moves:[[3 3] [3 6] [6 6] [2 4] [1 5]]; speedup:21.97=>21.05
{1,4,6,10}	skip moves:[[2 4] [3 3] [1 5] [6 6]]; speedup:19.68=>19.46
{2,4,6,10}	skip moves:[[3 3] [1 5] [6 6]]; speedup:18.62=>18.53
{1,2,4,6,10}	skip moves:[[4 4] [1 3] [3 3] [1 5] [6 6]]; speedup:21.22=>20.49
{3,4,6,10}	skip moves:[[2 4] [1 5] [6 6]]; speedup:17.9=>17.85
{1,3,4,6,10}	skip moves:[[3 6] [4 4] [2 2] [2 4] [1 5] [6 6]]; speedup:20.25=>20
{2,3,4,6,10}	skip moves:[[1 5] [6 6]]; speedup:19.38=>19.25
{1,2,3,4,6,10}	skip moves:[[4 4] [2 6] [1 5] [6 6] [3 4] [3 6]]; speedup:21.31=>20.96
{1,5,6,10}	skip moves:[[2 3] [1 4] [3 3] [2 4] [6 6] [5 6]]; speedup:21.45=>18.98
{2,5,6,10}	skip moves:[[3 3] [2 4] [1 5] [6 6] [5 6]]; speedup:18.53=>17.99
{1,2,5,6,10}	skip moves:[[2 3] [1 4] [5 6] [2 4] [3 3] [6 6]]; speedup:21.04=>20.02
{3,5,6,10}	skip moves:[[2 4] [1 5] [6 6] [5 6]]; speedup:17.44=>17.35
{1,3,5,6,10}	skip moves:[[3 6] [2 3] [1 4] [2 4] [6 6] [5 6]]; speedup:19.88=>19.53
{2,3,5,6,10}	skip moves:[[1 4] [1 5] [2 4] [6 6] [5 6]]; speedup:19.08=>18.76
{1,2,3,5,6,10}	skip moves:[[2 6] [1 4] [2 4] [6 6] [3 5] [3 6] [5 6]]; speedup:21.19=>20.58
{1,4,5,6,10}	skip moves:[[4 5] [2 3] [3 3] [2 4] [6 6] [5 6]]; speedup:19.42=>19.2
{2,4,5,6,10}	skip moves:[[2 3] [1 4] [5 6] [3 3] [1 5] [6 6]]; speedup:18.6=>18.5
{1,2,4,5,6,10}	skip moves:[[2 3] [3 3] [6 6] [4 5] [5 6]]; speedup:20.51=>20.1
{3,4,5,6,10}	skip moves:[[5 6] [2 4] [1 5] [6 6]]; speedup:18.02=>17.98
{1,3,4,5,6,10}	skip moves:[[3 6] [2 3] [4 5] [2 4] [6 6] [5 6]]; speedup:19.9=>19.69
{2,3,4,5,6,10}	skip moves:[[4 5] [1 4] [1 5] [6 6] [5 6]]; speedup:19.25=>19.14
{1,2,3,4,5,6,10}	skip moves:[[3 5] [4 4] [3 6] [4 5] [6 6] [5 6]]; speedup:20.54=>20.36
{1,2,7,10}	skip moves:[[1 1] [2 2]]; speedup:24.79=>23.57
{1,3,7,10}	skip moves:[[3 3] [1 2]]; speedup:25.34=>21.81
{2,3,7,10}	skip moves:[[3 3] [1 2]]; speedup:21.46=>20.97
{1,2,3,7,10}	skip moves:[[2 3]]; speedup:26.53=>24.91
{1,4,7,10}	skip moves:[[4 4] [2 2] [1 3]]; speedup:25.59=>20.97
{2,4,7,10}	skip moves:[[4 4] [1 3]]; speedup:20.48=>19.76
{1,2,4,7,10}	skip moves:[[2 4]]; speedup:25.37=>23.8
{1,3,4,7,10}	skip moves:[[4 4] [2 2]]; speedup:21.8=>21.79
{1,2,3,4,7,10}	skip moves:[[3 3] [4 4]]; speedup:22.6=>22.44
{1,5,7,10}	skip moves:[[2 3] [1 4]]; speedup:25.28=>20.56
{2,5,7,10}	skip moves:[[2 3] [1 4]]; speedup:20.56=>19.47
{1,2,5,7,10}	skip moves:[[2 3] [1 5] [1 4]]; speedup:23.47=>23.42
{3,5,7,10}	skip moves:[[2 3] [1 4]]; speedup:18.55=>18.42
{1,3,5,7,10}	skip moves:[[2 3] [1 4] [3 5]]; speedup:22.98=>21.32
{2,3,5,7,10}	skip moves:[[1 4] [3 5]]; speedup:20.98=>20.66
{1,2,3,5,7,10}	skip moves:[[3 3] [3 5] [1 4]]; speedup:22.54=>22.13
{1,4,5,7,10}	skip moves:[[2 3] [4 5]]; speedup:22.34=>20.6
{2,4,5,7,10}	skip moves:[[4 5]]; speedup:20.2=>19.86
{1,2,4,5,7,10}	skip moves:[[4 4] [1 3] [4 5] [2 3]]; speedup:22.04=>21.48
{3,4,5,7,10}	skip moves:[[2 3] [1 4]]; speedup:19.16=>19.16
{1,3,4,5,7,10}	skip moves:[[4 4] [2 2] [2 3] [4 5]]; speedup:21.17=>21.04
{2,3,4,5,7,10}	skip moves:[[4 4] [1 3] [4 5] [1 4]]; speedup:20.63=>20.56
{1,2,3,4,5,7,10}	skip moves:[[4 4] [3 5] [4 5]]; speedup:22.29=>21.96
{1,6,7,10}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:27.62=>20.52
{2,6,7,10}	skip moves:[[2 4] [3 3] [1 5] [6 6]]; speedup:20.21=>18.65
{1,2,6,7,10}	skip moves:[[2 4] [3 3] [1 5] [6 6] [2 6]]; speedup:24.64=>22.86
{3,6,7,10}	skip moves:[[2 4] [1 5] [6 6]]; speedup:18.11=>17.79
{1,3,6,7,10}	skip moves:[[2 4] [1 5] [6 6] [3 6]]; speedup:22.91=>21.07
{2,3,6,7,10}	skip moves:[[2 4] [1 5] [6 6] [3 6]]; speedup:20.42=>19.91
{1,2,3,6,7,10}	skip moves:[[3 3] [3 6] [2 4] [1 5] [6 6]]; speedup:22.57=>21.84
{1,4,6,7,10}	skip moves:[[1 3] [4 4] [2 2] [2 4] [1 5] [3 3] [6 6]]; speedup:20.59=>20.42
{2,4,6,7,10}	skip moves:[[3 3] [1 5] [6 6]]; speedup:19.39=>19.31
{1,2,4,6,7,10}	skip moves:[[4 4] [1 3] [3 3] [1 5] [6 6]]; speedup:21.87=>21.3
{3,4,6,7,10}	skip moves:[[1 5] [2 4] [6 6]]; speedup:18.89=>18.81
{1,3,4,6,7,10}	skip moves:[[3 6] [4 4] [2 2] [1 5] [2 4] [6 6]]; speedup:21.12=>20.94
{2,3,4,6,7,10}	skip moves:[[1 5] [6 6]]; speedup:20.17=>20.07
{1,2,3,4,6,7,10}	skip moves:[[2 6] [4 4] [1 5] [6 6] [3 6]]; speedup:21.92=>21.7
{1,5,6,7,10}	skip moves:[[2 3] [1 4] [3 3] [2 4] [6 6] [5 6]]; speedup:21.92=>19.91
{2,5,6,7,10}	skip moves:[[3 3] [2 4] [1 5] [6 6] [5 6]]; speedup:19.44=>18.95
{1,2,5,6,7,10}	skip moves:[[2 3] [1 4] [3 3] [2 4] [6 6] [5 6]]; speedup:21.81=>20.97
{3,5,6,7,10}	skip moves:[[2 4] [1 5] [6 6] [5 6]]; speedup:18.32=>18.22
{1,3,5,6,7,10}	skip moves:[[3 5] [3 6] [2 3] [1 4] [2 4] [6 6] [5 6]]; speedup:20.69=>20.39
{2,3,5,6,7,10}	skip moves:[[1 4] [2 4] [1 5] [6 6] [5 6]]; speedup:19.91=>19.65
{1,2,3,5,6,7,10}	skip moves:[[1 4] [2 4] [6 6] [3 5] [3 6] [5 6]]; speedup:21.9=>21.37
{1,4,5,6,7,10}	skip moves:[[2 3] [4 5] [2 4] [3 3] [6 6] [5 6]]; speedup:20.26=>20.05
{2,4,5,6,7,10}	skip moves:[[5 6] [1 5] [3 3] [6 6]]; speedup:19.46=>19.37
{1,2,4,5,6,7,10}	skip moves:[[4 4] [1 3] [2 3] [3 3] [6 6] [4 5] [5 6]]; speedup:21.3=>20.95
{3,4,5,6,7,10}	skip moves:[[2 4] [1 5] [6 6] [5 6]]; speedup:18.94=>18.88
{1,3,4,5,6,7,10}	skip moves:[[3 6] [2 3] [2 4] [6 6] [4 5] [5 6]]; speedup:20.74=>20.57
{2,3,4,5,6,7,10}	skip moves:[[1 4] [1 5] [6 6] [5 6]]; speedup:20.13=>20.03
{1,2,3,4,5,6,7,10}	skip moves:[[3 5] [4 4] [3 6] [4 5] [6 6] [5 6]]; speedup:21.34=>21.19
{1,2,8,10}	skip moves:[[2 2]]; speedup:25.27=>23.96
{1,3,8,10}	skip moves:[[3 3] [1 2]]; speedup:25.96=>22.21
{2,3,8,10}	skip moves:[[3 3] [1 2]]; speedup:21.9=>21.39
{1,2,3,8,10}	skip moves:[[2 3]]; speedup:26.93=>25.23
{1,4,8,10}	skip moves:[[2 2] [1 3]]; speedup:25.34=>21.43
{2,4,8,10}	skip moves:[[1 3]]; speedup:20.79=>20.27
{1,2,4,8,10}	skip moves:[[2 4]]; speedup:25.94=>24.22
{1,3,4,8,10}	skip moves:[[3 4]]; speedup:24.05=>22.21
{2,3,4,8,10}	skip moves:[[3 4]]; speedup:21.67=>21.43
{1,2,3,4,8,10}	skip moves:[[3 4] [3 3]]; speedup:22.96=>22.8
{1,5,8,10}	skip moves:[[2 3] [1 4]]; speedup:25.97=>20.98
{2,5,8,10}	skip moves:[[2 3] [1 4]]; speedup:20.71=>19.63
{1,2,5,8,10}	skip moves:[[2 3] [1 5] [1 4] [2 5]]; speedup:25.4=>23.73
{3,5,8,10}	skip moves:[[2 3] [1 4]]; speedup:19.36=>19.32
{1,3,5,8,10}	skip moves:[[2 3] [1 4]]; speedup:21.83=>21.73
{2,3,5,8,10}	skip moves:[[1 4]]; speedup:20.97=>20.92
{1,2,3,5,8,10}	skip moves:[[3 3] [1 4]]; speedup:22.76=>22.46
{1,4,5,8,10}	skip moves:[[2 3] [4 5]]; speedup:22.96=>21.06
{2,4,5,8,10}	skip moves:[[2 3] [1 4] [4 5]]; speedup:20.57=>20.22
{1,2,4,5,8,10}	skip moves:[[1 3] [4 5] [2 3]]; speedup:22.29=>21.79
{1,3,4,5,8,10}	skip moves:[[2 2] [4 5] [2 3]]; speedup:21.59=>21.46
{2,3,4,5,8,10}	skip moves:[[1 3] [4 5] [1 4]]; speedup:20.94=>20.86
{1,2,3,4,5,8,10}	skip moves:[[3 4] [4 5]]; speedup:22.61=>22.31
{1,6,8,10}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:27.36=>20.63
{2,6,8,10}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:21.24=>19.61
{1,2,6,8,10}	skip moves:[[2 4] [1 6] [3 3] [1 5] [6 6]]; speedup:23.52=>23.23
{3,6,8,10}	skip moves:[[2 4] [1 5] [6 6]]; speedup:18.61=>18.28
{1,3,6,8,10}	skip moves:[[2 4] [1 5] [6 6] [3 6]]; speedup:23.06=>21.24
{2,3,6,8,10}	skip moves:[[1 5] [2 4] [6 6] [3 6]]; speedup:21.1=>20.62
{1,2,3,6,8,10}	skip moves:[[3 3] [3 6] [2 4] [1 5] [6 6]]; speedup:22.92=>22.14
{1,4,6,8,10}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:20.88=>20.68
{2,4,6,8,10}	skip moves:[[3 3] [1 5] [6 6]]; speedup:20.24=>20.23
{1,2,4,6,8,10}	skip moves:[[1 3] [1 5] [3 3] [6 6]]; speedup:22.25=>21.71
{3,4,6,8,10}	skip moves:[[2 4] [1 5] [6 6]]; speedup:19.33=>19.28
{1,3,4,6,8,10}	skip moves:[[2 2] [3 6] [2 4] [1 5] [6 6]]; speedup:21.34=>21.12
{2,3,4,6,8,10}	skip moves:[[1 5] [6 6]]; speedup:20.77=>20.68
{1,2,3,4,6,8,10}	skip moves:[[1 5] [6 6] [3 4] [3 6]]; speedup:22.34=>22.04
{1,5,6,8,10}	skip moves:[[2 3] [1 4] [3 3] [2 4] [6 6] [5 6]]; speedup:22.06=>20.12
{2,5,6,8,10}	skip moves:[[3 3] [1 5] [2 4] [6 6] [5 6]]; speedup:19.99=>19.63
{1,2,5,6,8,10}	skip moves:[[2 3] [1 4] [3 3] [2 4] [6 6] [5 6]]; speedup:22.06=>21.22
{3,5,6,8,10}	skip moves:[[2 4] [1 5] [6 6] [5 6]]; speedup:19.03=>18.89
{1,3,5,6,8,10}	skip moves:[[3 6] [2 3] [1 4] [2 4] [6 6] [5 6]]; speedup:21.01=>20.7
{2,3,5,6,8,10}	skip moves:[[1 4] [2 4] [1 5] [6 6] [5 6]]; speedup:20.49=>20.27
